Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Mongolia,2009,MNG,,2779182.46695803,0.258,717029.0764751718,44.72212865402928,100.0,1603298.1838188297
Mongolia,2010,MNG,,1861224.8183227505,0.258,480196.0031272696,49.21500609005865,100.0,975710.542935945
Mongolia,2011,MNG,,902586.9408720572,0.258,232867.4307449908,53.35458604142552,100.0,436452.5114377011
Mongolia,2012,MNG,,307387.02576340456,0.258,79305.85264695837,61.00047686832223,100.0,130008.57815939828
Mongolia,2013,MNG,,270255.08878164226,0.258,69725.81290566371,67.39982751854112,100.0,103451.02572626426
Mongolia,2014,MNG,506579.2287011335,506579.2287011836,0.258,130697.44100490535,75.65898944863625,100.0,172745.42252990822
Mongolia,2015,MNG,,928444.5203896024,0.258,239538.68626051745,79.99854910747071,100.0,299428.7883130471
Mongolia,2016,MNG,,1131162.011637649,0.258,291839.79900251346,80.58515625007874,100.0,362150.8136025092
Mongolia,2017,MNG,,1067689.7051997958,0.258,275463.9439415473,84.0514711851282,100.0,327732.44781738817
Mongolia,2018,MNG,841488.4695458551,841488.4695458352,0.258,217104.02514282547,89.78735194323893,100.0,241798.0043336979
Mongolia,2019,MNG,651103.1824500001,651103.1824499685,0.258,167984.6210720919,96.34278894314784,100.0,174361.38492027682
Mongolia,2020,MNG,,1396996.082831893,0.258,360424.9893706284,100.0,100.0,360424.9893706284
Mongolia,2021,MNG,,715933.7040012474,0.258,184710.89563232183,107.352812434,100.0,172059.67076631665
Malawi,2004,MWI,33813105.93612957,28586832.28245735,0.315,9004852.168974066,12.240592838125687,100.0,73565490.56126364
Malawi,2005,MWI,,33790959.6015358,0.315,10644152.274483776,14.12691038290813,100.0,75346639.75331736
Malawi,2006,MWI,,37565388.60666084,0.315,11833097.411098164,16.101046422376424,100.0,73492722.7751677
Malawi,2007,MWI,,41143806.6907711,0.315,12960299.107592896,17.38143543142933,100.0,74564032.17514428
Malawi,2008,MWI,,42274111.70313835,0.315,13316345.18648858,18.89581069916563,100.0,70472473.4942258
Malawi,2009,MWI,,42119883.88368797,0.315,13267763.423361711,20.487224242747462,100.0,64761156.8368445
Malawi,2010,MWI,46834714.03,45866856.79363251,0.315,14448059.88999424,22.005653496326826,100.0,65656127.3783844
Malawi,2011,MWI,,47512987.05518532,0.315,14966590.922383375,23.6831054304841,100.0,63195221.447263755
Malawi,2012,MWI,,62979583.69612694,0.315,19838568.864279985,28.720801546831765,100.0,69073869.09773904
Malawi,2013,MWI,54148163.31884794,70865652.32949257,0.315,22322680.48379016,36.55679356790167,100.0,61063015.393643185
Malawi,2014,MWI,,74101084.61929512,0.315,23341841.655077964,45.25440963721426,100.0,51579154.036479056
Malawi,2015,MWI,,80000912.01589584,0.315,25200287.28500719,55.150348674284594,100.0,45693795.036254294
Malawi,2016,MWI,,90489302.19949912,0.315,28504130.192842223,67.12410331066825,100.0,42464820.81245467
Malawi,2017,MWI,100730467.51322094,92822643.42923737,0.315,29239132.68020977,74.87250297108643,100.0,39051896.91801952
Malawi,2018,MWI,,95006094.67819975,0.315,29926919.82363292,84.17180119551041,100.0,35554567.44250967
Malawi,2019,MWI,,96945255.57394028,0.315,30537755.505791187,92.05940269092396,100.0,33171794.095077123
Malawi,2020,MWI,100827007.31480762,98211473.27818108,0.315,30936614.08262704,100.0,100.0,30936614.08262704
Malawi,2021,MWI,,102316120.57279968,0.315,32229577.9804319,109.330144108,100.0,29479132.44182175
Niger,2011,NER,9481689.225,9481689.22497964,0.315,2986732.105868587,91.51076917057262,100.0,3263803.9576538047
