Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ethiopia(excludes Eritrea);GDP per capita (current US$);134.5424863;160.0767918;191.7512925;240.347972;320.8610897;373.8939587;335.4384953;348.0013483;458.5509208;490.7924741;557.5341484;630.3126271;705.6175123;755.7526451;758.2976902;840.4496034;918.6525941;925.0006972
Faeroe Islands;GDP per capita (current US$);35940.96286;36440.3222;41762.68751;48365.73654;51431.97478;47410.95857;48167.66751;51786.48548;50157.0628;55560.13613;60126.12921;52726.6887;56833.91437;59328.23348;62576.80375;63382.75314;61979.79544;69010.1662
Fiji;GDP per capita (current US$);3124.607389;3406.475158;3483.597185;3793.097385;3928.921739;3184.689123;3469.150224;4160.721585;4359.792845;4586.956165;5305.0634;5105.190039;5368.433659;5825.198813;6073.395195;5968.319557;4864.106008;4646.537921
Finland;GDP per capita (current US$);37772.17811;39054.85044;41222.602;48476.39273;53772.79424;47481.48454;46505.30318;51148.93164;47708.06128;49892.22336;50327.24029;42801.90812;43814.02651;46412.13648;49987.62616;48629.85823;49169.71934;53489.75202
Fm Sudan;GDP per capita (current US$);737.1228027;945.6895752;1179.898193;1500.673096;1585.58252;1382.621338;1706.414917;1982.816528;1797.400757;1834.561157;2076.000977;2226.409424;2614.294434;3188.769287;769.8691406;748.0109253;608.3325195;749.7067871
France;GDP per capita (current US$);33797.16244;34768.1759;36470.21284;41557.62356;45515.96175;41737.76355;40676.06479;43846.46608;40870.85236;42602.71797;43068.54872;36652.92231;37062.53357;38781.04949;41557.85486;40494.89829;39055.28293;43658.97898
French Polynesia;GDP per capita (current US$);20829.06574;21047.19291;21382.23578;23837.81755;25437.66849;23326.08745;21447.85823;21747.98888;19864.53568;20941.51722;21223.0754;18252.51413;18726.6395;19743.95899;20614.89439;20093.20862;18984.61738;19999.07676
Gabon;GDP per capita (current US$);5483.144572;6570.96327;6873.453984;8036.919948;9732.226524;7325.909508;8399.597344;10273.79845;9348.514868;9250.081117;9255.368037;7090.454634;6722.198222;6975.695197;7694.906045;7523.862278;6680.08267;8635.797144
Gambia, The;GDP per capita (current US$);596.6292799;618.9598062;615.9739283;725.0922752;857.8582399;772.1249279;796.6318388;705.4774939;686.5575601;647.3855375;561.6496393;611.6712178;640.6762701;632.0010179;683.3246379;722.875351;704.0304578;772.1514524
Georgia;GDP per capita (current US$);1305.047486;1642.783594;1996.019759;2635.367029;3324.754464;2822.689233;3233.220357;4021.754204;4421.929819;4623.884714;4739.277808;4014.112241;4062.126978;4356.928595;4722.042423;4696.150586;4255.742993;5023.274384
Germany;GDP per capita (current US$);34106.65812;34520.23965;36353.88033;41640.08087;45612.71062;41650.36783;41572.45595;46705.8958;43855.85447;46298.92292;48023.86998;41103.25644;42136.12079;44652.58917;47939.27829;46793.68676;46772.82535;51203.55447
